Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
LogisticRegression,Anonymous,0.756,0.7332,0.756,0.7356,0.8711,0.5972,0.5852,0.5934,25,0.81,0.3,9.0,1.0,0.01,,,
LogisticRegression,Anonymous,0.7252,0.7058,0.7252,0.7098,0.8053,1.0189,0.5358,0.5412,221,7.14,0.3,9.0,1.0,0.2,,,
LogisticRegression,CTGAN_HYBRID,0.5851,0.5589,0.5851,0.5384,0.6772,1.3276,0.2519,0.282,221,7.14,0.3,9.0,1.0,0.2,300,1,3096
LogisticRegression,GaussianCopula_HYBRID,0.552,0.4868,0.552,0.471,0.609,1.2206,0.1665,0.2077,221,7.14,0.3,9.0,1.0,0.2,300,1,3096
LogisticRegression,TVAE_HYBRID,0.6498,0.6513,0.6498,0.6502,0.7389,2.1058,0.4295,0.4298,221,7.14,0.3,9.0,1.0,0.2,300,1,3096
LogisticRegression,Anonymous,0.7252,0.7058,0.7252,0.7098,0.8053,1.0189,0.5358,0.5412,221,7.14,0.3,9.0,1.0,0.5,,,
LogisticRegression,Anonymous,0.7252,0.7058,0.7252,0.7098,0.8053,1.0189,0.5358,0.5412,221,7.14,0.3,9.0,1.0,1.0,,,
LogisticRegression,CTGAN_HYBRID,0.5964,0.5689,0.5964,0.5662,0.6755,1.1849,0.2929,0.3076,221,7.14,0.3,9.0,1.0,1.0,300,1,3096
LogisticRegression,GaussianCopula_HYBRID,0.552,0.4868,0.552,0.471,0.609,1.2206,0.1665,0.2077,221,7.14,0.3,9.0,1.0,1.0,300,1,3096
LogisticRegression,TVAE_HYBRID,0.6529,0.6267,0.6529,0.6343,0.7433,1.7393,0.4169,0.4208,221,7.14,0.3,9.0,1.0,1.0,300,1,3096
