Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
DecisionTree,Anonymous,0.6958,0.7066,0.6958,0.7005,0.7472,10.9651,0.512,0.5126,28,0.9,0.3,2.0,1.0,0.01,,,
DecisionTree,CTGAN_HYBRID,0.4006,0.4093,0.4006,0.3804,0.5191,21.6045,0.0446,0.0488,28,0.9,0.3,2.0,1.0,0.01,300,1,3096
DecisionTree,GaussianCopula_HYBRID,0.4322,0.4481,0.4322,0.4387,0.5478,20.4645,0.1007,0.1012,28,0.9,0.3,2.0,1.0,0.01,300,1,3096
DecisionTree,TVAE_HYBRID,0.5904,0.6242,0.5904,0.599,0.6686,14.7649,0.361,0.3668,28,0.9,0.3,2.0,1.0,0.01,300,1,3096
DecisionTree,Anonymous,0.683,0.6938,0.683,0.6875,0.7366,11.4265,0.49,0.4907,124,4.01,0.3,2.0,1.0,0.2,,,
DecisionTree,Anonymous,0.6657,0.6834,0.6657,0.6732,0.7252,12.0507,0.4666,0.4678,124,4.01,0.3,2.0,1.0,0.5,,,
DecisionTree,Anonymous,0.6845,0.6958,0.6845,0.6895,0.736,11.3722,0.4933,0.4938,124,4.01,0.3,2.0,1.0,1.0,,,
DecisionTree,CTGAN_HYBRID,0.4465,0.4896,0.4465,0.4509,0.5662,19.9489,0.1459,0.1519,124,4.01,0.3,2.0,1.0,1.0,300,1,3096
DecisionTree,GaussianCopula_HYBRID,0.3886,0.4274,0.3886,0.4039,0.5209,22.0387,0.0526,0.0534,124,4.01,0.3,2.0,1.0,1.0,300,1,3096
DecisionTree,TVAE_HYBRID,0.5768,0.5535,0.5768,0.5608,0.6297,15.2534,0.2988,0.3018,124,4.01,0.3,2.0,1.0,1.0,300,1,3096
