Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
LogisticRegression,Anonymous,0.7568,0.7486,0.7568,0.7511,0.872,0.6,0.597,0.5989,27,0.87,0.3,7.0,1.0,0.01,,,
LogisticRegression,CTGAN_HYBRID,0.4337,0.4126,0.4337,0.394,0.5808,1.0552,0.0813,0.0926,27,0.87,0.3,7.0,1.0,0.01,300,1,3096
LogisticRegression,GaussianCopula_HYBRID,0.5309,0.4987,0.5309,0.4348,0.6441,0.983,0.1272,0.1717,27,0.87,0.3,7.0,1.0,0.01,300,1,3096
LogisticRegression,TVAE_HYBRID,0.7139,0.6926,0.7139,0.6985,0.8355,0.8425,0.5283,0.5322,27,0.87,0.3,7.0,1.0,0.01,300,1,3096
LogisticRegression,Anonymous,0.744,0.7184,0.744,0.7192,0.84,0.8529,0.5644,0.5732,202,6.52,0.3,7.0,1.0,0.2,,,
LogisticRegression,CTGAN_HYBRID,0.622,0.5651,0.622,0.5818,0.6982,1.0691,0.3466,0.3568,202,6.52,0.3,7.0,1.0,0.2,300,1,3096
LogisticRegression,GaussianCopula_HYBRID,0.5708,0.5275,0.5708,0.4913,0.6465,1.0298,0.2027,0.2555,202,6.52,0.3,7.0,1.0,0.2,300,1,3096
LogisticRegression,TVAE_HYBRID,0.6709,0.6498,0.6709,0.6454,0.7766,1.9444,0.4558,0.4682,202,6.52,0.3,7.0,1.0,0.2,300,1,3096
LogisticRegression,Anonymous,0.744,0.7184,0.744,0.7192,0.84,0.8529,0.5644,0.5732,202,6.52,0.3,7.0,1.0,0.5,,,
LogisticRegression,Anonymous,0.744,0.7184,0.744,0.7192,0.84,0.8529,0.5644,0.5732,202,6.52,0.3,7.0,1.0,1.0,,,
LogisticRegression,CTGAN_HYBRID,0.631,0.5851,0.631,0.5843,0.7225,0.9679,0.3403,0.3672,202,6.52,0.3,7.0,1.0,1.0,300,1,3096
LogisticRegression,GaussianCopula_HYBRID,0.5708,0.5275,0.5708,0.4913,0.6465,1.0298,0.2027,0.2555,202,6.52,0.3,7.0,1.0,1.0,300,1,3096
LogisticRegression,TVAE_HYBRID,0.6461,0.6503,0.6461,0.6036,0.7663,1.8064,0.4166,0.4524,202,6.52,0.3,7.0,1.0,1.0,300,1,3096
