Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
DecisionTree,Anonymous,0.692,0.7014,0.692,0.6962,0.7426,11.1008,0.5046,0.505,28,0.9,0.3,6.0,1.0,0.01,,,
DecisionTree,Anonymous,0.683,0.7036,0.683,0.6912,0.7409,11.4265,0.4949,0.4967,284,9.17,0.3,6.0,1.0,0.2,,,
DecisionTree,CTGAN_HYBRID,0.3283,0.3903,0.3283,0.328,0.5026,24.21,0.0104,0.0113,284,9.17,0.3,6.0,1.0,0.2,300,1,3096
DecisionTree,GaussianCopula_HYBRID,0.3788,0.4022,0.3788,0.3879,0.5123,22.3916,0.026,0.0262,284,9.17,0.3,6.0,1.0,0.2,300,1,3096
DecisionTree,TVAE_HYBRID,0.6242,0.617,0.6242,0.6157,0.6768,13.5435,0.3889,0.3927,284,9.17,0.3,6.0,1.0,0.2,300,1,3096
DecisionTree,Anonymous,0.6755,0.6938,0.6755,0.683,0.7344,11.6979,0.4826,0.4841,284,9.17,0.3,6.0,1.0,0.5,,,
DecisionTree,CTGAN_HYBRID,0.4232,0.464,0.4232,0.4291,0.5563,20.7902,0.1208,0.1252,284,9.17,0.3,6.0,1.0,0.5,300,1,3096
DecisionTree,GaussianCopula_HYBRID,0.3983,0.4163,0.3983,0.4057,0.5251,21.6859,0.0497,0.0499,284,9.17,0.3,6.0,1.0,0.5,300,1,3096
DecisionTree,TVAE_HYBRID,0.5768,0.6019,0.5768,0.5782,0.6515,15.2534,0.3287,0.3367,284,9.17,0.3,6.0,1.0,0.5,300,1,3096
DecisionTree,Anonymous,0.6807,0.6936,0.6807,0.6863,0.7352,11.5079,0.4884,0.4891,284,9.17,0.3,6.0,1.0,1.0,,,
