Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
KNN,Anonymous,0.631,0.6139,0.631,0.6154,0.7271,4.4834,0.3731,0.3796,25,0.81,0.3,10.0,1.0,0.01,,,
KNN,CTGAN_HYBRID,0.5008,0.4783,0.5008,0.4833,0.5872,5.1558,0.1496,0.1527,25,0.81,0.3,10.0,1.0,0.01,300,1,3096
KNN,GaussianCopula_HYBRID,0.4149,0.397,0.4149,0.4013,0.4963,5.5266,0.0203,0.0206,25,0.81,0.3,10.0,1.0,0.01,300,1,3096
KNN,TVAE_HYBRID,0.506,0.5235,0.506,0.5061,0.6621,6.1519,0.2202,0.2247,25,0.81,0.3,10.0,1.0,0.01,300,1,3096
KNN,Anonymous,0.5776,0.5597,0.5776,0.5656,0.6811,5.1332,0.2909,0.2933,230,7.43,0.3,10.0,1.0,0.2,,,
KNN,Anonymous,0.5776,0.5597,0.5776,0.5656,0.6811,5.1332,0.2909,0.2933,230,7.43,0.3,10.0,1.0,0.5,,,
KNN,CTGAN_HYBRID,0.4014,0.4428,0.4014,0.4154,0.548,7.4331,0.081,0.0827,230,7.43,0.3,10.0,1.0,0.5,300,1,3096
KNN,GaussianCopula_HYBRID,0.4375,0.3969,0.4375,0.411,0.5104,5.8405,0.0297,0.0304,230,7.43,0.3,10.0,1.0,0.5,300,1,3096
KNN,TVAE_HYBRID,0.5188,0.4926,0.5188,0.5026,0.6156,7.1295,0.1915,0.1931,230,7.43,0.3,10.0,1.0,0.5,300,1,3096
KNN,Anonymous,0.5776,0.5597,0.5776,0.5656,0.6811,5.1332,0.2909,0.2933,230,7.43,0.3,10.0,1.0,1.0,,,
