Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
RandomForest,Anonymous,0.7741,0.7594,0.7741,0.7596,0.8857,0.5866,0.6177,0.6247,25,0.81,0.3,4.0,2.0,0.01,,,
RandomForest,CTGAN_HYBRID,0.4872,0.4957,0.4872,0.4604,0.6427,1.006,0.1863,0.2047,25,0.81,0.3,4.0,2.0,0.01,300,1,3096
RandomForest,GaussianCopula_HYBRID,0.567,0.5116,0.567,0.4953,0.6637,0.9593,0.1977,0.2373,25,0.81,0.3,4.0,2.0,0.01,300,1,3096
RandomForest,TVAE_HYBRID,0.6694,0.6632,0.6694,0.6456,0.8081,0.8539,0.4573,0.4754,25,0.81,0.3,4.0,2.0,0.01,300,1,3096
RandomForest,Anonymous,0.7681,0.7501,0.7681,0.7524,0.883,0.5918,0.6078,0.6144,235,7.59,0.3,4.0,2.0,0.2,,,
RandomForest,CTGAN_HYBRID,0.4895,0.5196,0.4895,0.4359,0.7008,1.0006,0.196,0.2609,235,7.59,0.3,4.0,2.0,0.2,300,1,3096
RandomForest,GaussianCopula_HYBRID,0.5369,0.5221,0.5369,0.4558,0.6519,0.9697,0.1266,0.1652,235,7.59,0.3,4.0,2.0,0.2,300,1,3096
RandomForest,TVAE_HYBRID,0.689,0.6442,0.689,0.637,0.8128,0.8054,0.4756,0.5009,235,7.59,0.3,4.0,2.0,0.2,300,1,3096
RandomForest,Anonymous,0.7688,0.7522,0.7688,0.7534,0.8832,0.5912,0.6088,0.6157,235,7.59,0.3,4.0,2.0,0.5,,,
RandomForest,Anonymous,0.7733,0.759,0.7733,0.7605,0.881,0.5951,0.6177,0.6237,235,7.59,0.3,4.0,2.0,1.0,,,
