Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.6845,0.6971,0.6845,0.69,0.7384,11.3722,0.4942,0.495
DecisionTree,CTGAN_HYBRID,0.3042,0.3054,0.3042,0.2983,0.4354,25.0786,-0.1526,-0.1561
DecisionTree,GaussianCopula_HYBRID,0.4541,0.4503,0.4541,0.452,0.5498,19.6774,0.1068,0.1069
DecisionTree,Original,0.6702,0.6869,0.6702,0.6772,0.7298,11.8879,0.4745,0.4757
DecisionTree,TVAE_HYBRID,0.5316,0.5598,0.5316,0.5402,0.6287,16.8819,0.2654,0.2685
KNN,Anonymous,0.5715,0.5488,0.5715,0.5562,0.6677,5.452,0.2759,0.279
KNN,CTGAN_HYBRID,0.4526,0.3709,0.4526,0.3788,0.5076,12.3877,-0.0141,-0.017
KNN,GaussianCopula_HYBRID,0.4541,0.4341,0.4541,0.4396,0.5548,4.9983,0.077,0.0779
KNN,Original,0.5798,0.5704,0.5798,0.5742,0.703,4.3475,0.306,0.3067
KNN,TVAE_HYBRID,0.5256,0.5257,0.5256,0.5201,0.6422,6.2897,0.2332,0.2363
LogisticRegression,Anonymous,0.7417,0.7153,0.7417,0.7105,0.8341,0.9436,0.5603,0.5716
LogisticRegression,CTGAN_HYBRID,0.4367,0.3994,0.4367,0.3992,0.5538,1.3323,0.0756,0.0847
LogisticRegression,GaussianCopula_HYBRID,0.5369,0.4927,0.5369,0.4515,0.6675,1.0382,0.1322,0.1744
LogisticRegression,Original,0.7756,0.7608,0.7756,0.7619,0.879,0.5821,0.6209,0.6275
LogisticRegression,TVAE_HYBRID,0.6702,0.6918,0.6702,0.6739,0.7957,1.2098,0.4774,0.4835
RandomForest,Anonymous,0.7718,0.7543,0.7718,0.7532,0.8839,0.589,0.6116,0.6207
RandomForest,CTGAN_HYBRID,0.323,0.2872,0.323,0.2942,0.4317,1.2728,-0.1219,-0.1343
RandomForest,GaussianCopula_HYBRID,0.5361,0.4914,0.5361,0.4471,0.6478,0.9725,0.1232,0.168
RandomForest,Original,0.7726,0.7579,0.7726,0.7575,0.8891,0.5986,0.6145,0.6221
RandomForest,TVAE_HYBRID,0.6672,0.6547,0.6672,0.6498,0.8247,0.8253,0.4574,0.4681
