Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.8193,0.8228,0.8193,0.821,0.5676,6.4549,0.1423,0.1424
DecisionTree,CTGAN,0.7415,0.8082,0.7415,0.7706,0.5428,9.3188,0.0641,0.0679
DecisionTree,CTGAN_HYBRID,0.8065,0.7974,0.8065,0.8018,0.509,6.9754,0.0192,0.0192
DecisionTree,Original,0.8742,0.8751,0.8742,0.8746,0.6992,4.5358,0.3954,0.3954
KNN,Anonymous,0.8766,0.8357,0.8766,0.8451,0.6087,2.1283,0.1344,0.166
KNN,CTGAN,0.8226,0.7969,0.8226,0.8091,0.5215,1.4825,0.0165,0.0168
KNN,CTGAN_HYBRID,0.8785,0.8029,0.8785,0.8285,0.5018,2.6913,0.0093,0.0207
KNN,Original,0.8821,0.8614,0.8821,0.8678,0.7531,1.5054,0.3004,0.3144
LogisticRegression,Anonymous,0.8829,0.8266,0.8829,0.8285,0.6901,0.3386,0.0027,0.0207
LogisticRegression,CTGAN,0.8879,0.8673,0.8879,0.8458,0.6958,0.3722,0.1147,0.2025
LogisticRegression,CTGAN_HYBRID,0.883,0.7797,0.883,0.8281,0.5149,0.3648,0.0,0.0
LogisticRegression,Original,0.9009,0.8857,0.9009,0.8866,0.8977,0.2487,0.3931,0.4191
RandomForest,Anonymous,0.8669,0.8337,0.8669,0.8455,0.6768,0.9445,0.1662,0.18
RandomForest,CTGAN,0.8827,0.8358,0.8827,0.8323,0.6816,0.3766,0.0288,0.0769
RandomForest,CTGAN_HYBRID,0.8674,0.7882,0.8674,0.8227,0.5264,0.8676,-0.011,-0.0167
RandomForest,Original,0.9066,0.8942,0.9066,0.8953,0.9261,0.2215,0.4457,0.4664
