Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,CTGAN,0.6354,0.5543,0.6354,0.5739,0.4894,13.1409,-0.0256,-0.0309
DecisionTree,Original,0.7917,0.7917,0.7917,0.7917,0.7576,7.5091,0.5152,0.5152
DecisionTree,TVAE,0.6562,0.6227,0.6562,0.6309,0.55,12.39,0.1111,0.1163
KNN,CTGAN,0.5833,0.5278,0.5833,0.5486,0.4308,1.0845,-0.0884,-0.0936
KNN,Original,0.6146,0.5719,0.6146,0.5861,0.499,2.8304,0.0034,0.0035
KNN,TVAE,0.6667,0.4681,0.6667,0.55,0.5232,7.7306,-0.0407,-0.0983
LogisticRegression,CTGAN,0.6771,0.601,0.6771,0.5875,0.5813,0.6238,0.0275,0.0442
LogisticRegression,Original,0.8333,0.8355,0.8333,0.8225,0.7889,0.4543,0.5733,0.5949
LogisticRegression,TVAE,0.6771,0.6273,0.6771,0.6226,0.5904,1.0331,0.0916,0.1102
RandomForest,CTGAN,0.6875,0.4727,0.6875,0.5602,0.6124,0.6151,0.0,0.0
RandomForest,Original,0.8021,0.796,0.8021,0.794,0.8192,0.4471,0.5081,0.5166
RandomForest,TVAE,0.6979,0.671,0.6979,0.6141,0.5922,0.7227,0.0902,0.1454
SVM,CTGAN,0.6875,0.4727,0.6875,0.5602,N/A,N/A,0.0,0.0
SVM,Original,0.6875,0.4727,0.6875,0.5602,N/A,N/A,0.0,0.0
SVM,TVAE,0.6667,0.4681,0.6667,0.55,N/A,N/A,-0.0407,-0.0983
