Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
KNN,Anonymous,0.6757,0.6599,0.6757,0.6663,N/A,N/A,0.4614,0.4629
KNN,CTGAN,0.5096,0.4688,0.5096,0.4774,N/A,N/A,0.1657,0.1706
KNN,GaussianCopula,0.4124,0.3823,0.4124,0.393,N/A,N/A,0.0088,0.009
KNN,Hybrid,0.5051,0.4835,0.5051,0.492,N/A,N/A,0.1791,0.1802
KNN,Original,0.5774,0.5653,0.5774,0.5703,N/A,N/A,0.3,0.3007
KNN,TVAE,0.5333,0.5144,0.5333,0.5149,N/A,N/A,0.2111,0.2142
RandomForest,Anonymous,0.7446,0.7143,0.7446,0.7198,N/A,N/A,0.5682,0.5757
RandomForest,CTGAN,0.6836,0.5607,0.6836,0.6142,N/A,N/A,0.4359,0.466
RandomForest,GaussianCopula,0.6068,0.5276,0.6068,0.5596,N/A,N/A,0.3147,0.326
RandomForest,Hybrid,0.574,0.5411,0.574,0.5391,N/A,N/A,0.2967,0.3123
RandomForest,Original,0.7797,0.7676,0.7797,0.7638,N/A,N/A,0.6255,0.6342
RandomForest,TVAE,0.7017,0.6848,0.7017,0.6896,N/A,N/A,0.5045,0.5071
