Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.6746,0.675,0.6746,0.6747,,,0.4719,0.4719
DecisionTree,Original,0.704,0.7054,0.704,0.7046,,,0.5195,0.5195
KNN,Anonymous,0.6983,0.6795,0.6983,0.6854,,,0.494,0.4974
KNN,Original,0.5774,0.5653,0.5774,0.5703,,,0.3,0.3007
LogisticRegression,Anonymous,0.7469,0.7167,0.7469,0.7198,,,0.5677,0.5778
LogisticRegression,Original,0.7469,0.7179,0.7469,0.7214,,,0.5676,0.5775
RandomForest,Anonymous,0.7446,0.7199,0.7446,0.7245,,,0.5669,0.574
RandomForest,Original,0.7695,0.7563,0.7695,0.7565,,,0.6106,0.6171
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0
SVM,Original,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0
